period,seriesId,seriesDescription,stateId/0,stateDescription,value,unit
2022,MGICB,Motor gasoline consumed by the industrial sector,CO,Colorado,6479,Billion Btu
2022,MGACV,Motor gasoline expenditures in the transportation sector,CO,Colorado,9136.5,Million dollars
2022,MGCCD,Motor gasoline price in the commercial sector,CO,Colorado,31.65,Dollars per million Btu
2022,EMCCB,"Fuel ethanol, excluding denaturant, consumed by the commercial sector ",CO,Colorado,509,Billion Btu
2022,WWPRB,Wood and waste energy production,CO,Colorado,16659,Billion Btu
2023,NUEGP,Nuclear electricity net generation in the electric power sector,CO,Colorado,0,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,CO,Colorado,0,Million dollars
2023,NUGBP,Nuclear generating units net summer capacity in all sectors,CO,Colorado,0,Thousand kilowatts
2023,NUETB,"Nuclear energy consumed for electricity generation, total",CO,Colorado,0,Billion Btu
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,CO,Colorado,690,Thousand kilowatts
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,CO,Colorado,4.4,Percent
2023,EVNNP,Electric vehicle charging locations with both networked and non-networked ports,CO,Colorado,6,Number
2022,MGCCP,Motor gasoline consumed by the commercial sector,CO,Colorado,1557,Thousand barrels
2023,AVTXD,"Aviation gasoline average price, all end-use sectors",CO,Colorado,32.62,Dollars per million Btu
2023,AVTXV,Aviation gasoline total end-use expenditures,CO,Colorado,17.5,Million dollars
2023,AVTXB,Aviation gasoline total end-use consumption,CO,Colorado,537,Billion Btu
2023,AVTCP,Aviation gasoline total consumption,CO,Colorado,106,Thousand barrels
2023,GERCB,Geothermal energy consumed by the residential sector,CO,Colorado,271,Billion Btu
2023,GETCB,Geothermal energy total consumption,CO,Colorado,759,Billion Btu
2023,GETXB,Geothermal energy total end-use consumption,CO,Colorado,759,Billion Btu
2023,AVTCD,"Aviation gasoline average price, all sectors",CO,Colorado,32.62,Dollars per million Btu
2023,AVACP,Aviation gasoline consumed by the transportation sector,CO,Colorado,106,Thousand barrels
2023,WYCCP,Wind electricity net generation in the commercial sector,CO,Colorado,0,Million kilowatthours
2023,GECCB,Geothermal energy consumed by the commercial sector,CO,Colorado,221,Billion Btu
2023,GEEGB,Geothermal energy consumed for electricity generation by the electric power sector,CO,Colorado,0,Billion Btu
2023,GEEGP,Geothermal electricity net generation in the electric power sector,CO,Colorado,0,Million kilowatthours
2023,AVACD,Aviation gasoline price in the transportation sector,CO,Colorado,32.62,Dollars per million Btu
2023,AVACV,Aviation gasoline expenditures in the transportation sector,CO,Colorado,17.5,Million dollars
2023,AVTCB,Aviation gasoline total consumption,CO,Colorado,537,Billion Btu
2023,JFTXV,Jet fuel total end-use expenditures,CO,Colorado,1663.4,Million dollars
2023,GEICB,Geothermal energy consumed by the industrial sector,CO,Colorado,266,Billion Btu
2023,WYEGP,Wind electricity net generation in the electric power sector,CO,Colorado,16089,Million kilowatthours
2023,WYICB,Wind energy consumed by the industrial sector,CO,Colorado,7,Billion Btu
2023,WYTCP,Wind electricity total net generation,CO,Colorado,16091,Million kilowatthours
2023,WYCCB,Wind energy consumed by the commercial sector,CO,Colorado,0,Billion Btu
2022,DFEIP,Distillate fuel oil consumed by the electric power sector,CO,Colorado,66,Thousand barrels
2022,WDPRB,Wood energy production,CO,Colorado,15570,Billion Btu
2022,WDEXB,Densified biomass exports (available for 2016 forward),CO,Colorado,0,Billion Btu
2022,DFEIV,Distillate fuel oil expenditures in the electric power sector,CO,Colorado,10,Million dollars
2022,DFEIB,Distillate fuel oil consumed by the electric power sector,CO,Colorado,383,Billion Btu
2022,DFICB,Distillate fuel oil consumed by the industrial sector,CO,Colorado,26726,Billion Btu
2022,DFTCP,Distillate fuel oil total consumption,CO,Colorado,27165,Thousand barrels
2022,OHICB,Other hydrocarbon gas liquids (other than propane) consumed by the industrial sector,CO,Colorado,0,Billion Btu
2022,EMACB,"Fuel ethanol, excluding denaturant, consumed by the transportation sector   ",CO,Colorado,18705,Billion Btu
2022,EQTCB,Ethane total consumption,CO,Colorado,0,Billion Btu
2022,HLTCP,Hydrocarbon gas liquids total consumption,CO,Colorado,5151,Thousand barrels
2023,GEGBP,Geothermal generating units net summer capacity in all sectors,CO,Colorado,0,Thousand kilowatts
2023,GECAS,Geothermal generating units capacity factor,CO,Colorado,0,Percent
2023,EV0CN,Legacy charging ports for electric vehicles,CO,Colorado,0,Number
2023,EVNTP,Electric vehicle charging locations with networked ports only,CO,Colorado,2004,Number
2023,HVCAS,Conventional hydroelectric generating units capacity factor,CO,Colorado,26.5,Percent
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,CO,Colorado,590,Thousand kilowatts
2022,DFICV,Distillate fuel oil expenditures in the industrial sector,CO,Colorado,762.2,Million dollars
2022,DFISB,Distillate fuel oil consumed by the industrial sector excluding refinery fuel,CO,Colorado,26721,Billion Btu
2023,ESTCP,Electricity total consumption (electricity sales to ultimate customers),CO,Colorado,55566,Million kilowatthours
2022,PQACV,Propane expenditures in the transportation sector,CO,Colorado,5.9,Million dollars
2022,PQTCD,"Propane average price, all sectors",CO,Colorado,23.66,Dollars per million Btu
2022,PQCCD,Propane price in the commercial sector,CO,Colorado,19.17,Dollars per million Btu
2022,EQICP,Ethane consumed by the industrial sector,CO,Colorado,0,Thousand barrels
2022,EQICB,Ethane consumed by the industrial sector,CO,Colorado,0,Billion Btu
2022,EQTCP,Ethane total consumption,CO,Colorado,0,Thousand barrels
2022,PAPRB,Crude oil production (including lease condensate),CO,Colorado,910287,Billion Btu
2022,PAPRP,Crude oil production (including lease condensate),CO,Colorado,160149,Thousand barrels
2022,REPRB,Renewable energy production,CO,Colorado,113441,Billion Btu
2022,TEPRB,Total primary energy production,CO,Colorado,3542814,Billion Btu
2023,ESSCB,Electricity total consumption adjusted for process fuel,CO,Colorado,188529,Billion Btu
2023,ESTCD,"Electricity average price, all sectors",CO,Colorado,34.53,Dollars per million Btu
2023,ESTCV,Electricity total expenditures,CO,Colorado,6510.1,Million dollars
2023,EVDCN,DC fast charging ports for electric vehicles,CO,Colorado,1018,Number
2023,ESTXV,Electricity total end-use expenditures,CO,Colorado,6510.1,Million dollars
2023,ESTXD,"Electricity average price, all end-use sectors",CO,Colorado,34.53,Dollars per million Btu
2022,DFICP,Distillate fuel oil consumed by the industrial sector,CO,Colorado,4636,Thousand barrels
2022,DFRCD,Distillate fuel oil price in the residential sector,CO,Colorado,28.23,Dollars per million Btu
2023,TPOPP,Resident population including Armed Forces,CO,Colorado,5878,Thousand
2023,EVPUP,Electric vehicle charging locations with public ports only,CO,Colorado,2128,Number
2023,JFACB,Jet fuel consumed by the transportation sector,CO,Colorado,77522,Billion Btu
2023,HYEGB,Hydropower consumed for electricity generation by the electric power sector,CO,Colorado,5401,Billion Btu
2023,HYCCB,Hydropower consumed by the commercial sector,CO,Colorado,46,Billion Btu
2023,HYICB,Hydropower consumed by the industrial sector,CO,Colorado,0,Billion Btu
2023,HYTCB,Hydropower total consumption,CO,Colorado,5447,Billion Btu
2023,ZWCDP,Cooling degree days (CDD),CO,Colorado,303,Days
2023,ZWHDP,Heating degree days (HDD),CO,Colorado,7236,Days
2023,JFTXD,"Jet fuel average price, all end-use sectors",CO,Colorado,21.46,Dollars per million Btu
2023,EVDCR,DC fast charging ports per location,CO,Colorado,2.68,Number
2023,ESCCV,Electricity expenditures in the commercial sector,CO,Colorado,2409.3,Million dollars
2023,ESCCB,Electricity consumed by (sales to ultimate customers in) the commercial sector,CO,Colorado,70621,Billion Btu
2023,GDPRV,Current-dollar gross domestic product (GDP),CO,Colorado,529626.5,Million dollars
2023,GDPRX,Real gross domestic product (GDP),CO,Colorado,437056,Million chained (2017) dollars
2019,ESCCD,Electricity price in the commercial sector,CO,Colorado,30.58,Dollars per million Btu
2019,ARTXV,Asphalt and road oil total end-use expenditures,CO,Colorado,289.6,Million dollars
2019,ARICV,Asphalt and road oil expenditures in the industrial sector,CO,Colorado,289.6,Million dollars
2019,ESTXP,Electricity total end-use consumption (electricity sales to ultimate customers),CO,Colorado,56521,Million kilowatthours
2019,ELEXV,Electricity exports expenditures,CO,Colorado,0,Million dollars
2019,ARTXB,Asphalt and road oil total end-use consumption,CO,Colorado,17815,Billion Btu
2019,ARICB,Asphalt and road oil consumed by the industrial sector,CO,Colorado,17815,Billion Btu
2019,ARTCD,"Asphalt and road oil average price, all sectors",CO,Colorado,16.26,Dollars per million Btu
2019,ARICP,Asphalt and road oil consumed by the industrial sector,CO,Colorado,2685,Thousand barrels
2019,ARICD,Asphalt and road oil price in the industrial sector,CO,Colorado,16.26,Dollars per million Btu
2019,ESRCP,Electricity consumed by (sales to ultimate customers in) the residential sector,CO,Colorado,19405,Million kilowatthours
2019,ESRCB,Electricity consumed by (sales to ultimate customers in) the residential sector,CO,Colorado,66209,Billion Btu
2019,ELEXP,Electricity exported from the United States,CO,Colorado,0,Million kilowatthours
2019,ELNIP,Net imports of electricity into the United States,CO,Colorado,0,Million kilowatthours
2019,ESICD,Electricity price in the industrial sector,CO,Colorado,21.68,Dollars per million Btu
2019,ELIMV,Electricity imports expenditures,CO,Colorado,0,Million dollars
2019,ELIMD,Electricity imports average price,CO,Colorado,0,Dollars per million Btu
2019,ELNIB,Net imports of electricity into the United States,CO,Colorado,0,Billion Btu
2019,ESCCP,Electricity consumed by (sales to ultimate customers in) the commercial sector,CO,Colorado,21111,Million kilowatthours
2019,ARTCP,Asphalt and road oil total consumption,CO,Colorado,2685,Thousand barrels
2019,ESTCP,Electricity total consumption (electricity sales to ultimate customers),CO,Colorado,56521,Million kilowatthours
2019,ARTXP,Asphalt and road oil total end-use consumption,CO,Colorado,2685,Thousand barrels
2019,ARTCV,Asphalt and road oil total expenditures,CO,Colorado,289.6,Million dollars
2019,ARTXD,"Asphalt and road oil average price, all end-use sectors",CO,Colorado,16.26,Dollars per million Btu
2019,ARTCB,Asphalt and road oil total consumption,CO,Colorado,17815,Billion Btu
2019,ESISB,Electricity sales to the industrial sector excluding refinery use,CO,Colorado,52896,Billion Btu
2019,ESRFB,Electricity consumed by refineries,CO,Colorado,1324,Billion Btu
2019,ELIMB,Electricity imported into the United States,CO,Colorado,0,Billion Btu
2019,ESICP,Electricity consumed by (sales to ultimate customers in) the industrial sector,CO,Colorado,15891,Million kilowatthours
2019,ESRCV,Electricity expenditures in the residential sector,CO,Colorado,2362.6,Million dollars
2019,ESTCD,"Electricity average price, all sectors",CO,Colorado,29.87,Dollars per million Btu
2019,ELEXB,Electricity exported from the United States,CO,Colorado,0,Billion Btu
2019,ESACV,Electricity expenditures in the transportation sector,CO,Colorado,9.9,Million dollars
2019,ELEXD,Electricity exports average price,CO,Colorado,0,Dollars per million Btu
2019,ESTXD,"Electricity average price, all end-use sectors",CO,Colorado,29.87,Dollars per million Btu
2019,ESCCV,Electricity expenditures in the commercial sector,CO,Colorado,2202.7,Million dollars
2019,ESICB,Electricity consumed by (sales to ultimate customers in) the industrial sector,CO,Colorado,54220,Billion Btu
2019,ESACB,Electricity consumed by (sales to ultimate customers in) the transportation sector,CO,Colorado,388,Billion Btu
2019,ESTXV,Electricity total end-use expenditures,CO,Colorado,5721.7,Million dollars
2019,ESCCB,Electricity consumed by (sales to ultimate customers in) the commercial sector,CO,Colorado,72032,Billion Btu
2019,ESTCV,Electricity total expenditures,CO,Colorado,5721.7,Million dollars
2019,ESICV,Electricity expenditures in the industrial sector,CO,Colorado,1146.6,Million dollars
2019,NGTCD,"Natural gas average price, all sectors (including supplemental gaseous fuels)",CO,Colorado,5.36,Dollars per million Btu
2019,ELIMP,Electricity imported into the United States,CO,Colorado,0,Million kilowatthours
2019,ESSCB,Electricity total consumption adjusted for process fuel,CO,Colorado,191525,Billion Btu
2019,ESRCD,Electricity price in the residential sector,CO,Colorado,35.68,Dollars per million Btu
2019,ESTXB,Electricity total end-use consumption (electricity sales to ultimate customers),CO,Colorado,192849,Billion Btu
2019,ESACD,Electricity price in the transportation sector,CO,Colorado,25.51,Dollars per million Btu
2019,ESTCB,Electricity total consumption (electricity sales to ultimate customers),CO,Colorado,192849,Billion Btu
2019,ESACP,Electricity consumed by (sales to ultimate customers in) the transportation sector,CO,Colorado,114,Million kilowatthours
2023,CLEIV,Coal expenditures in the electric power sector,CO,Colorado,426.3,Million dollars
2023,CLISB,Coal consumed by the industrial sector excluding refinery fuel,CO,Colorado,2952,Billion Btu
2023,CLICP,Coal consumed by the industrial sector,CO,Colorado,127,Thousand short tons
2023,CLACK,Factor for converting coal consumed by the transportation sector from physical units to Btu,CO,Colorado,0,Million Btu per short ton
2023,CLCCB,Coal consumed by the commercial sector,CO,Colorado,6,Billion Btu
2023,CLACD,Coal price in the transportation sector,CO,Colorado,0,Dollars per million Btu
2023,CLACV,Coal expenditures in the transportation sector,CO,Colorado,0,Million dollars
2023,CLEIK,Factor for converting coal consumed by the electric power sector from physical units to Btu,CO,Colorado,18.412,Million Btu per short ton
2023,CLEIB,Coal consumed by the electric power sector,CO,Colorado,201868,Billion Btu
2023,CLKCB,Coal consumed at coke plants (coking coal),CO,Colorado,0,Billion Btu
2023,CLKCK,Factor for converting coal consumed at coke plants from physical units to Btu,CO,Colorado,0,Million Btu per short ton
2021,TNACB,End-use energy consumption in the transportation sector,CO,Colorado,433010,Billion Btu
2020,WSGBP,Waste generating units net summer capacity in all sectors,CO,Colorado,16,Thousand kilowatts
2020,SOGBP,Solar generating units net summer capacity in all sectors,CO,Colorado,681,Thousand kilowatts
2019,NGTXD,"Natural gas average price, all end-use sectors (including supplemental gaseous fuels)",CO,Colorado,6.41,Dollars per million Btu
2021,WSCCB,Waste energy consumed by the commercial sector,CO,Colorado,0,Billion Btu
2021,WDRSB,Wood energy consumed in the residential sector at a cost,CO,Colorado,3482,Billion Btu
2020,WWEID,Wood and waste price in the electric power sector,CO,Colorado,1.8,Dollars per million Btu
2021,WWTCD,"Wood and waste average price, all sectors",CO,Colorado,8.01,Dollars per million Btu
2021,WDRCB,Wood energy consumed by the residential sector,CO,Colorado,8270,Billion Btu
2021,TNSCB,"Total net energy consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,999740,Billion Btu
2019,NGTCK,Factor for converting natural gas total consumption from physical units to Btu,CO,Colorado,1.089,Thousand Btu per cubic foot
2019,SOTCB,Solar energy total consumption,CO,Colorado,6609,Billion Btu
2021,WDRXB,Wood energy consumed in the residential sector at no cost,CO,Colorado,4788,Billion Btu
2021,WWISB,Wood and waste energy consumed in the industrial sector at a cost,CO,Colorado,251,Billion Btu
2020,WWTCB,Wood and waste total consumption,CO,Colorado,13114,Billion Btu
2021,NUEGP,Nuclear electricity net generation in the electric power sector,CO,Colorado,0,Million kilowatthours
2021,GDPRX,Real gross domestic product (GDP),CO,Colorado,406451.9,Million chained (2017) dollars
2021,ESTPP,Electricity total consumption (electricity sales to ultimate customers) per capita,CO,Colorado,9696,Kilowatthours
2021,TECCD,Total energy average price in the commercial sector,CO,Colorado,20.51,Dollars per million Btu
2021,WSGBP,Waste generating units net summer capacity in all sectors,CO,Colorado,16,Thousand kilowatts
2021,TERCB,Total energy consumption in the residential sector,CO,Colorado,334017,Billion Btu
2021,TEAPB,Total energy consumption per capita in the transportation sector,CO,Colorado,74.6,Million Btu
